Wn,HTE,I,h,Qc/A,Th,Tc
7.5,3.2,16,3000,14400,298.2251097,327.0336213
5.5,2.8,27,8500,18200,295.9878487,337.9355404
7.8,3.8,1,100,2600,319.0004903,330.6916212
5,0.5,13.5,3500,11200,296.4191812,304.348465
7.7,1.7,10.5,8600,7400,294.0400303,299.0880668
4.5,2.5,26,3900,14200,298.9641897,330.6340514
6.5,2.3,14.5,9500,2600,293.5956918,275.0289057
5.1,2.3,18,8800,10000,294.6008499,306.2992493
5.7,3.5,14.5,8700,9800,294.4939986,318.8876795
6,2.4,7.5,900,2200,296.1634032,287.3199123
7.6,1.4,26,7200,17600,295.7925286,305.1707377
7.8,1,12.5,9900,13200,294.4908413,304.5369163
7.6,2.4,1,6300,5400,294.0024358,312.559333
6.1,3.4,18.5,5900,9200,295.2517636,300.957196
5,2.2,1,6100,19200,296.2479006,450.8425227
4.3,0.6,27,2500,1000,295.0635287,265.9680277
7.3,1,26.5,1000,7600,302.717432,293.1034525
6.4,2.8,20.5,6500,9200,295.0433713,293.9093984
4.5,3.5,8,6600,17400,295.6102686,471.322691
4.3,4.4,1.5,8400,17000,295.0799986,600.7330802
4.2,2.7,28.5,3300,16400,302.115848,362.9095264
6.4,3.7,24.5,500,6400,321.0604142,288.9850075
6.6,2.5,29.5,7500,11800,295.4708262,290.288629
5.2,1.5,27,4500,16600,297.6804406,314.2142078
4.4,4,1.5,9000,18200,295.086293,586.8891342
6.1,0.9,6,7100,16800,295.4835372,325.995394
4.1,3.6,29,3500,13200,303.3646862,391.524472
5.4,1.3,24,7300,6200,294.4617164,277.7582483
6.3,2.2,3.5,300,10400,327.1339779,369.7706313
5.1,1.8,9,1800,8600,298.0709257,321.0201306
6.8,1.3,20.5,4500,9200,295.5015349,293.248631
4.7,1.2,19,2700,11600,298.1360417,308.1613512
7.8,3.4,21,9600,15800,294.9880415,319.432723
6.4,4.3,2.5,2700,19800,300.1936789,474.0799306
7.1,2.4,21,4200,8200,295.6942397,288.910473
4.8,2,1.5,4800,7400,294.665029,347.4492669
8,2.7,25.5,4100,9800,296.3376336,288.8110213
7.3,4.5,16,9300,15000,294.8855161,341.5440843
6.3,4.4,25,9600,13400,295.2593539,319.2695222
5.5,2.4,27.5,200,4000,369.7021024,303.5527562
5.9,2.7,2.5,6600,18000,295.7970626,415.1900269
4.4,2.2,9,9900,12600,294.4092436,367.9606276
5,1,17,8300,17000,295.2535033,323.7862919
7.4,1.3,17,8800,3200,293.633113,283.1176602
7.5,4.1,7,800,10000,305.5410649,344.1666363
7.4,2.4,13,5100,3400,294.0172031,283.1667089
4.5,4,18.5,2700,17600,301.6061266,429.9427308
4.2,2.3,22,3400,8600,297.7241129,297.0829493
6.1,4.1,23.5,700,6200,313.3161075,284.1581693
5.5,4,13,2400,12400,298.8431366,358.6266503
5.9,4.1,28.5,8200,14600,296.1245761,324.8399125
7,4.1,2.5,3400,1000,293.4630097,291.3071511
